OUTBOUND_SOLAR_ZENITH_ANGLE,OUTBOUND_ALTITUDE
106.9,893.0
104.5,705.0
108.2,756.0
111.3,751.0
116.4,1453.0
117.8,1487.0
118.8,1028.0
120.7,1169.0
122.2,1295.0
123.0,1647.0
125.2,1268.0
122.1,725.0
125.6,1938.0
129.4,923.0
131.3,1073.0
132.4,900.0
133.8,1301.0
129.9,2122.0
137.1,1200.0
136.9,757.0
139.3,1488.0
134.1,2175.0
144.1,1224.0
137.2,2029.0
144.1,1486.0
143.0,1671.0
139.9,1996.0
137.3,2270.0
131.1,2879.0
125.6,3476.0
129.7,3070.0
140.5,2178.0
141.9,2106.0
143.2,2043.0
120.9,4028.0
131.7,2935.0
153.3,1547.0
144.1,2049.0
142.3,2162.0
138.5,2405.0
127.8,3238.0
137.5,2458.0
155.3,1510.0
145.0,1976.0
131.0,2875.0
132.8,2706.0
132.3,2711.0
142.1,2051.0
138.6,2226.0
130.1,2770.0
133.8,2464.0
144.3,1803.0
132.1,2496.0
142.4,1822.0
128.0,2697.0
128.4,2611.0
135.2,2083.0
145.1,1495.0
136.6,1890.0
151.9,1104.0
133.9,1931.0
129.4,2161.0
127.0,2191.0
127.5,2072.0
136.8,1411.0
135.5,1411.0
123.6,2124.0
0.0,0.0
116.8,2329.0
116.7,2225.0
0.0,0.0
0.0,0.0
127.3,1127.0
129.4,932.0
114.3,1891.0
116.8,1555.0
111.5,1915.0
107.7,2188.0
108.3,1987.0
0.0,0.0
113.1,1259.0
106.8,1573.0
105.1,1601.0
99.3,2172.0
101.0,1765.0
105.8,1109.0
102.9,1232.0
100.5,1312.0
98.9,1326.0
0.0,0.0
0.0,0.0
87.7,2273.0
93.9,1061.0
96.4,870.0
93.3,903.0
85.4,1593.0
87.9,1039.0
87.4,965.0
81.5,1251.0
0.0,0.0
83.3,876.0
81.2,870.0
71.3,1180.0
67.8,1025.0
56.1,1166.0
55.6,1007.0
50.7,1025.0
31.4,952.0
35.5,1081.0
66.0,1066.0
95.2,1525.0
107.9,1308.0
110.9,1894.0
113.4,1568.0
114.8,3211.0
120.1,1237.0
121.8,1258.0
120.6,2658.0
125.3,1562.0
127.3,1148.0
128.2,1111.0
129.1,2233.0
134.5,1278.0
135.1,1653.0
0.0,0.0
133.0,2295.0
143.9,1332.0
145.1,1587.0
148.6,1247.0
143.4,2023.0
139.9,2364.0
131.0,3220.0
147.4,1974.0
124.3,3944.0
135.9,2857.0
135.6,2894.0
152.5,1843.0
143.0,2399.0
135.4,2932.0
142.1,2473.0
141.7,2501.0
141.8,2488.0
133.6,3049.0
132.1,3150.0
139.2,2628.0
144.6,2294.0
141.7,2439.0
146.9,2118.0
137.2,2641.0
125.0,3535.0
142.6,2256.0
146.7,2016.0
126.1,3300.0
140.5,2258.0
0.0,0.0
138.5,2233.0
123.3,3263.0
138.6,2122.0
144.9,1745.0
128.4,2661.0
120.8,3213.0
130.5,2230.0
133.9,1938.0
135.2,1789.0
135.9,1675.0
135.0,1649.0
134.0,1627.0
122.8,2288.0
137.5,1289.0
136.3,1274.0
125.8,1790.0
129.8,1447.0
129.5,1378.0
132.0,1246.0
130.7,1217.0
122.2,1542.0
113.1,2165.0
124.3,1237.0
119.7,1196.0
111.8,1406.0
106.8,1704.0
106.9,1235.0
103.2,1296.0
97.0,1246.0
98.8,1201.0
92.5,1195.0
84.0,1591.0
80.6,1207.0
72.1,1193.0
98.1,1523.0
102.0,1611.0
105.4,1359.0
110.6,1373.0
122.6,1782.0
132.9,1502.0
0.0,0.0
0.0,0.0
140.3,2311.0
0.0,0.0
148.8,1967.0
143.7,2391.0
0.0,0.0
145.3,2373.0
0.0,0.0
144.9,2496.0
131.1,3532.0
0.0,0.0
134.5,3248.0
130.5,1736.0
120.7,1678.0
118.3,1737.0
112.6,1822.0
113.7,1628.0
114.4,1681.0
0.0,0.0
103.7,1560.0
97.3,2026.0
90.5,1758.0
94.9,1537.0
84.3,1476.0
106.2,1590.0
112.5,2149.0
112.8,1778.0
119.5,2366.0
119.8,2767.0
122.3,2342.0
127.2,2013.0
129.3,2523.0
131.3,2579.0
136.5,1893.0
137.8,1947.0
142.4,1649.0
145.9,2032.0
142.5,2437.0
148.5,2038.0
151.1,2042.0
147.9,2326.0
156.1,1690.0
149.1,2403.0
149.4,2424.0
0.0,0.0
157.1,2118.0
153.7,2296.0
140.4,3036.0
137.2,3260.0
0.0,0.0
139.6,3091.0
0.0,0.0
138.4,3131.0
173.2,1813.0
165.2,1967.0
159.6,2108.0
139.9,2952.0
137.5,3066.0
139.9,2893.0
0.0,0.0
154.4,2164.0
154.8,2116.0
144.6,2499.0
164.3,1727.0
145.4,2374.0
148.7,2138.0
0.0,0.0
134.1,2771.0
145.9,2046.0
137.9,2363.0
136.8,2358.0
142.0,2032.0
136.2,2251.0
128.9,2624.0
0.0,0.0
127.8,2530.0
134.1,2068.0
121.9,2790.0
134.0,1847.0
133.5,1794.0
132.8,1762.0
125.8,2040.0
119.7,2047.0
123.5,1972.0
122.2,1723.0
116.5,1853.0
113.0,1989.0
0.0,0.0
151.4,2114.0
157.2,1950.0
154.8,2227.0
0.0,0.0
0.0,0.0
151.9,2583.0
143.4,3018.0
145.9,2877.0
152.0,2592.0
0.0,0.0
157.1,2390.0
146.0,2838.0
0.0,0.0
165.9,2122.0
175.2,1954.0
157.8,2299.0
152.1,2469.0
151.3,2473.0
164.2,2059.0
144.4,2703.0
154.5,2263.0
147.0,2505.0
141.4,2723.0
135.5,2998.0
139.5,2725.0
138.1,2748.0
149.9,2165.0
0.0,0.0
143.1,2327.0
139.3,2450.0
136.0,2556.0
143.9,2116.0
132.5,2617.0
133.2,2502.0
132.9,2444.0
142.3,1947.0
132.2,2331.0
131.7,2278.0
131.6,2204.0
134.6,1991.0
130.2,2121.0
127.7,2175.0
129.3,2011.0
128.9,1961.0
128.4,1928.0
124.7,1919.0
114.2,1975.0
34.5,2007.0
78.0,5761.0
65.3,3325.0
127.3,2267.0
143.2,3173.0
168.7,2379.0
137.4,3448.0
143.0,3144.0
135.9,3500.0
144.3,3046.0
157.2,2582.0
143.7,3031.0
142.8,3044.0
146.0,2880.0
149.0,2714.0
146.2,2710.0
140.9,2882.0
140.3,2865.0
138.8,2885.0
152.5,2372.0
152.0,2319.0
140.3,2520.0
146.7,2297.0
142.2,2356.0
141.3,2339.0
0.0,0.0
138.8,2321.0
137.2,2320.0
133.6,2289.0
136.7,3258.0
142.3,2936.0
156.6,2529.0
151.7,2727.0
138.2,3352.0
144.1,3048.0
148.4,2846.0
159.4,2500.0
166.2,2360.0
133.3,3463.0
0.0,0.0
137.7,3161.0
150.1,2606.0
148.0,2641.0
137.6,3021.0
145.2,2632.0
139.3,2774.0
0.0,0.0
142.0,2576.0
137.8,2642.0
134.9,2714.0
132.4,2775.0
142.8,2329.0
132.8,2638.0
131.9,2618.0
131.0,2600.0
140.7,2256.0
129.5,2539.0
130.6,2428.0
0.0,0.0
136.2,3209.0
137.4,3157.0
137.7,3170.0
139.9,3062.0
151.8,2559.0
164.3,2258.0
137.4,3259.0
153.6,2563.0
141.3,3052.0
145.2,2875.0
138.5,3184.0
140.9,3056.0
145.1,2850.0
159.6,2411.0
178.9,2236.0
142.8,2896.0
154.5,2491.0
134.4,3246.0
151.8,2524.0
161.3,2304.0
148.6,2570.0
