DATETIME,OUTBOUND_ALTITUDE
1980-05-20 09:33:56,3063.0
1980-05-21 09:34:52,3109.0
1980-05-22 09:41:10,2594.0
1980-05-23 09:47:28,2437.0
1980-05-25 10:00:00,2893.0
1980-05-26 10:06:14,3293.0
1980-05-27 10:12:28,1282.0
1980-05-28 10:18:41,2316.0
1980-05-29 10:24:53,804.0
1980-05-30 10:31:05,0.0
1980-05-31 10:37:15,1456.0
1980-06-01 10:43:25,1728.0
1980-06-02 10:49:34,1460.0
1980-06-03 10:55:42,1850.0
1980-06-04 11:01:50,1582.0
1980-06-05 11:07:56,951.0
1980-06-06 11:14:02,963.0
1980-06-07 11:20:07,1347.0
1980-06-08 11:26:11,1557.0
1980-06-09 11:32:14,1401.0
1980-06-10 11:38:16,665.0
1980-06-11 11:44:18,773.0
1980-06-12 11:50:19,2506.0
1980-06-13 11:56:18,1397.0
1980-06-14 12:02:17,830.0
1980-06-15 12:08:15,1683.0
1980-06-16 12:14:12,0.0
1980-06-17 12:20:08,1419.0
1980-06-18 12:26:03,1792.0
1980-06-19 12:31:57,1270.0
1980-06-20 12:37:50,1995.0
1980-06-21 12:43:42,1802.0
1980-06-22 12:49:34,1245.0
1980-06-24 13:01:13,1042.0
1980-06-25 13:07:00,1501.0
1980-06-26 13:12:44,2027.0
1980-06-27 13:18:26,1136.0
1980-06-28 13:24:04,1058.0
1980-06-29 13:29:38,1076.0
1980-06-30 13:35:10,0.0
1980-07-01 13:40:40,957.0
1980-07-02 13:46:06,896.0
1980-07-03 13:51:29,803.0
1980-07-04 13:56:48,679.0
1980-07-05 14:02:01,494.0
1980-07-06 14:07:08,832.0
1980-07-07 14:12:08,921.0
1980-07-08 14:17:00,773.0
1980-07-09 14:21:42,851.0
1980-07-10 14:26:13,937.0
1980-07-11 14:30:33,533.0
1980-07-12 14:34:44,781.0
1980-07-13 14:38:43,1201.0
1980-07-14 14:42:34,686.0
1980-07-15 14:46:15,1403.0
1980-07-16 14:49:48,564.0
1980-07-17 14:53:15,897.0
1980-07-18 14:56:33,1281.0
1980-07-19 14:59:46,721.0
1980-07-20 15:02:53,1469.0
1980-07-21 15:05:56,633.0
1980-07-22 15:08:54,1486.0
1980-07-23 15:11:49,1118.0
1980-07-24 15:14:40,726.0
1980-07-26 15:20:17,1108.0
1980-07-27 15:23:03,529.0
1980-07-28 15:25:49,441.0
1980-07-29 15:28:33,1257.0
1980-07-30 15:31:16,986.0
1980-07-31 15:33:59,771.0
1980-08-01 15:36:43,758.0
1980-08-02 15:39:26,461.0
1980-08-03 15:42:09,446.0
1980-08-04 15:44:53,479.0
1980-08-05 15:47:37,379.0
1980-08-06 15:50:21,497.0
1980-08-07 15:53:06,473.0
1980-08-08 15:55:51,356.0
1980-08-09 15:58:37,516.0
1980-08-10 16:01:23,332.0
1980-08-11 16:04:09,380.0
1980-08-12 16:06:56,662.0
1980-08-13 16:09:44,373.0
1980-08-14 16:12:32,313.0
1980-08-15 16:15:20,400.0
1980-08-16 16:18:09,656.0
1980-08-17 16:20:58,384.0
1980-08-18 16:23:47,537.0
1980-08-19 16:26:37,528.0
1980-08-20 16:29:28,533.0
1980-08-21 16:32:18,331.0
1980-08-22 16:35:09,382.0
1980-08-23 16:38:01,374.0
1980-08-24 16:40:52,327.0
1980-08-25 16:43:44,589.0
1980-08-26 16:46:36,431.0
1980-08-27 16:49:28,358.0
1980-08-28 16:52:20,0.0
1980-08-29 16:55:13,370.0
1980-08-30 16:58:05,465.0
1980-08-31 17:00:58,361.0
1980-09-01 17:03:51,376.0
1980-09-04 17:12:29,328.0
1980-09-05 17:15:22,351.0
1980-09-06 17:18:14,347.0
1980-09-08 17:23:58,339.0
1980-09-09 17:26:50,369.0
1980-09-10 17:29:41,363.0
1980-09-15 17:43:53,595.0
1980-09-16 17:46:42,424.0
1980-09-17 17:49:31,355.0
1980-09-18 17:52:19,379.0
1980-09-19 17:55:07,478.0
1980-09-20 17:57:54,360.0
1980-09-21 18:00:40,373.0
1980-09-22 18:03:26,607.0
1980-09-23 18:06:12,383.0
1980-09-24 18:08:57,360.0
1980-09-25 18:11:41,529.0
1980-09-26 18:14:25,570.0
1980-09-27 18:17:08,881.0
1980-09-28 18:19:50,401.0
1980-09-29 18:22:32,378.0
1980-10-01 18:27:53,623.0
1980-10-02 18:30:33,513.0
1980-10-03 18:33:13,367.0
1980-10-04 18:35:51,1116.0
1980-10-05 18:38:29,635.0
1980-10-06 18:41:07,698.0
1980-10-07 18:43:44,0.0
1980-10-08 18:46:20,377.0
1980-10-09 18:48:56,935.0
1980-10-11 18:54:06,472.0
1980-10-12 18:56:41,658.0
1980-10-13 18:59:15,697.0
1980-10-16 19:06:54,921.0
1980-10-18 19:11:58,1032.0
1980-10-19 19:14:30,1330.0
1980-10-21 19:19:33,1280.0
1980-10-22 19:22:04,471.0
1980-10-25 19:29:37,1089.0
1980-10-27 19:34:39,1056.0
1980-10-28 19:37:09,821.0
1980-10-29 19:39:40,1041.0
1980-10-30 19:42:11,987.0
1980-10-31 19:44:42,0.0
1980-11-01 19:47:14,870.0
1980-11-02 19:49:45,0.0
1980-11-03 19:52:17,0.0
1980-11-04 19:54:49,0.0
1980-11-05 19:57:21,436.0
1980-11-06 19:59:54,949.0
1980-11-07 20:02:27,1185.0
1980-11-08 20:05:00,1512.0
1980-11-09 20:07:34,1115.0
1980-11-10 20:10:08,657.0
1980-11-14 20:20:30,0.0
1980-11-15 20:23:07,1681.0
1980-11-16 20:25:44,1216.0
1980-11-17 20:28:22,858.0
1980-11-18 20:31:01,1033.0
1980-11-19 20:33:40,1246.0
1980-11-20 20:36:20,513.0
1980-11-24 20:47:04,0.0
1980-11-25 20:49:47,2974.0
1980-11-26 20:52:31,1700.0
