INBOUND_SOLAR_ZENITH_ANGLE,INBOUND_ALTITUDE
111.1,2728.0
127.4,1771.0
119.6,2213.0
130.8,1654.0
135.7,1467.0
162.0,889.0
134.0,1551.0
142.6,1250.0
0.0,0.0
0.0,0.0
126.5,1930.0
0.0,0.0
150.8,1002.0
129.7,1759.0
131.5,1659.0
132.4,1606.0
125.6,1972.0
139.5,1226.0
139.6,1193.0
143.8,1000.0
142.7,1001.0
143.7,918.0
121.9,2122.0
114.5,2745.0
126.2,1627.0
130.6,1238.0
125.3,1583.0
117.5,2281.0
125.4,1424.0
112.5,2812.0
125.2,1251.0
125.0,1147.0
120.8,1522.0
122.7,1116.0
117.3,1749.0
117.7,1547.0
110.6,2609.0
113.2,1908.0
114.2,1432.0
111.5,1913.0
111.8,917.0
111.2,1148.0
109.8,1462.0
107.8,2133.0
107.5,1315.0
106.1,2276.0
104.4,1549.0
0.0,0.0
102.2,1546.0
98.5,1023.0
101.1,1924.0
95.2,979.0
93.6,969.0
95.6,1525.0
89.1,960.0
85.6,883.0
81.2,870.0
84.2,1181.0
79.8,1154.0
69.8,1119.0
81.1,1966.0
60.0,973.0
35.3,968.0
36.6,1114.0
63.6,1217.0
86.9,1063.0
107.5,1251.0
103.3,1045.0
102.0,1203.0
106.3,1206.0
108.4,1242.0
119.8,1085.0
110.7,1268.0
111.0,1319.0
109.1,1561.0
117.4,1227.0
109.2,1772.0
117.0,1413.0
112.0,1733.0
118.5,1461.0
123.2,1322.0
127.2,1326.0
128.6,1364.0
146.2,1111.0
134.7,1303.0
133.2,1382.0
138.7,1299.0
133.2,1489.0
118.3,2191.0
123.2,1975.0
115.0,2482.0
126.2,1910.0
137.0,1532.0
127.4,1927.0
129.8,1856.0
129.7,1888.0
146.5,1375.0
124.1,2215.0
136.9,1688.0
128.3,2064.0
141.1,1590.0
130.5,2008.0
128.5,2143.0
138.3,1739.0
154.1,1327.0
156.3,1291.0
144.7,1552.0
165.7,1191.0
125.8,2376.0
134.6,1931.0
152.6,1330.0
138.8,1745.0
141.0,1649.0
125.3,2434.0
132.2,2019.0
129.5,2160.0
148.3,1255.0
117.2,3024.0
122.3,2576.0
132.2,1861.0
135.1,1654.0
122.0,2534.0
123.0,2415.0
136.2,1425.0
