DATETIME,INBOUND_ALTITUDE,OUTBOUND_ALTITUDE
1979-12-18 07:46:07,659.0,469.0
1979-12-19 07:46:36,1019.0,492.0
1979-12-20 07:46:11,612.0,492.0
1979-12-21 07:45:37,987.0,682.0
1979-12-22 07:44:54,1245.0,684.0
1979-12-23 07:44:06,641.0,493.0
1979-12-24 07:43:13,875.0,454.0
1979-12-25 07:42:18,412.0,475.0
1979-12-26 07:41:21,829.0,312.0
1979-12-27 07:40:22,1243.0,673.0
1979-12-28 07:39:09,1482.0,859.0
1979-12-29 07:36:41,550.0,488.0
1979-12-30 07:33:59,923.0,536.0
1979-12-31 07:31:10,682.0,585.0
1980-01-01 07:28:14,898.0,478.0
1980-01-02 07:25:16,1252.0,549.0
1980-01-03 07:22:14,1169.0,657.0
1980-01-04 07:18:59,1080.0,576.0
1980-01-05 07:14:31,605.0,416.0
1980-01-06 07:09:51,1248.0,735.0
1980-01-07 07:05:03,817.0,499.0
1980-01-08 07:00:10,1250.0,636.0
1980-01-09 06:55:07,1181.0,938.0
1980-01-09 06:55:07,1181.0,938.0
1980-01-10 07:01:16,1373.0,867.0
1980-01-11 07:07:15,368.0,366.0
1980-01-12 07:13:07,514.0,307.0
1980-01-13 07:18:54,433.0,350.0
1980-01-14 07:24:37,400.0,563.0
1980-01-16 07:35:47,439.0,406.0
1980-01-17 07:39:57,440.0,362.0
1980-01-18 07:43:55,407.0,387.0
1980-01-19 07:47:42,639.0,425.0
1980-01-20 07:51:24,545.0,316.0
1980-01-21 07:55:02,439.0,332.0
1980-01-22 07:58:36,674.0,350.0
1980-01-23 08:01:57,288.0,417.0
1980-01-24 08:03:53,768.0,379.0
1980-01-25 08:05:23,417.0,312.0
1980-01-26 08:06:38,618.0,331.0
1980-01-27 08:07:41,1151.0,912.0
1980-01-28 08:08:35,925.0,686.0
1980-01-29 08:09:21,1208.0,805.0
1980-01-30 08:09:54,1740.0,1646.0
1980-01-31 08:09:37,2937.0,2858.0
1980-02-01 08:09:01,731.0,410.0
1980-02-02 08:08:10,608.0,511.0
1980-02-03 08:07:09,618.0,475.0
1980-02-04 08:05:58,781.0,534.0
1980-02-05 08:04:40,625.0,388.0
1980-02-06 08:03:21,854.0,830.0
1980-02-07 08:08:13,452.0,312.0
1980-02-08 08:13:07,392.0,326.0
1980-02-09 08:17:55,649.0,517.0
1980-02-10 08:22:39,837.0,693.0
1980-02-11 08:27:19,636.0,559.0
1980-02-12 08:31:55,343.0,346.0
1980-02-13 08:36:27,0.0,365.0
1980-02-15 08:45:21,641.0,487.0
1980-02-16 08:49:43,756.0,462.0
1980-02-17 08:54:01,707.0,535.0
1980-02-18 08:58:15,675.0,519.0
1980-02-19 09:02:26,568.0,481.0
1980-02-20 09:06:34,689.0,549.0
1980-02-21 09:10:38,716.0,539.0
1980-02-22 09:14:38,1071.0,1215.0
1980-02-23 09:18:35,1424.0,1307.0
1980-02-24 09:22:27,734.0,852.0
1980-02-25 09:26:14,885.0,1037.0
1980-02-26 09:29:57,711.0,1028.0
1980-02-27 09:33:35,821.0,620.0
1980-02-28 09:37:08,596.0,772.0
1980-02-29 09:40:36,987.0,1144.0
1980-03-01 09:43:59,1494.0,1745.0
1980-03-02 09:47:15,800.0,871.0
1980-03-03 09:50:26,934.0,1287.0
1980-03-04 09:53:31,708.0,1074.0
1980-03-05 09:56:29,981.0,1333.0
1980-03-06 09:59:24,1380.0,1758.0
1980-03-07 10:02:08,509.0,1039.0
1980-03-08 10:04:49,1151.0,1218.0
1980-03-09 10:07:24,1208.0,1061.0
1980-03-10 10:09:53,796.0,932.0
1980-03-11 10:12:15,530.0,635.0
1980-03-12 10:14:32,725.0,743.0
1980-03-13 10:16:44,923.0,957.0
1980-03-14 10:18:50,618.0,766.0
1980-03-15 10:20:53,751.0,1561.0
1980-03-16 10:22:51,1048.0,975.0
1980-03-17 10:24:46,835.0,732.0
1980-03-18 10:26:38,0.0,1559.0
1980-03-19 10:28:28,893.0,705.0
1980-03-20 10:30:16,1002.0,1001.0
1980-03-21 10:32:04,1458.0,724.0
1980-03-22 10:33:50,1555.0,1272.0
1980-03-23 10:35:35,1235.0,1896.0
1980-03-24 10:37:19,1591.0,1531.0
1980-03-25 10:39:04,1346.0,1013.0
1980-03-26 10:40:47,1179.0,981.0
1980-03-27 10:42:31,808.0,1032.0
1980-03-28 10:44:14,1281.0,2534.0
1980-03-29 10:45:58,1109.0,1550.0
1980-03-30 10:47:42,1558.0,1340.0
1980-03-31 10:49:26,1029.0,1850.0
1980-04-01 10:51:10,1773.0,2273.0
1980-04-02 10:52:43,1073.0,793.0
1980-04-03 10:53:41,1484.0,1860.0
1980-04-04 10:54:37,1817.0,1224.0
1980-04-05 10:55:33,1377.0,855.0
1980-04-06 10:56:28,1339.0,1073.0
1980-04-07 10:57:24,881.0,878.0
1980-04-08 10:58:19,648.0,1442.0
1980-04-09 10:59:04,1737.0,1284.0
1980-04-10 10:59:05,1744.0,1565.0
1980-04-11 10:59:00,1350.0,2060.0
1980-04-12 10:58:53,1172.0,2834.0
1980-04-13 10:58:46,995.0,1871.0
1980-04-14 10:58:38,0.0,1661.0
1980-04-15 10:58:31,959.0,1551.0
1980-04-16 10:58:11,1007.0,1409.0
1980-04-17 10:56:58,1236.0,1249.0
1980-04-18 10:55:38,1755.0,2792.0
1980-04-19 10:54:17,1423.0,2344.0
1980-04-20 10:52:56,0.0,2433.0
1980-04-21 10:51:34,837.0,2126.0
1980-04-22 10:50:13,1103.0,1621.0
1980-04-23 10:48:38,1612.0,3487.0
1980-04-24 10:46:02,1508.0,1914.0
1980-04-25 10:43:25,1087.0,2403.0
1980-04-26 10:40:46,882.0,2604.0
1980-04-27 10:38:07,945.0,1568.0
1980-04-28 10:35:27,1082.0,3180.0
1980-04-29 10:32:47,1397.0,3677.0
1980-04-30 10:29:52,1644.0,3337.0
1980-05-01 10:26:04,959.0,862.0
1980-05-02 10:22:12,1742.0,1714.0
1980-05-03 10:18:18,1092.0,2121.0
1980-05-04 10:14:25,1393.0,2122.0
1980-05-05 10:10:31,903.0,2672.0
1980-05-07 10:02:30,1438.0,2242.0
1980-05-08 09:57:35,1411.0,1799.0
1980-05-09 09:52:39,1036.0,1636.0
1980-05-10 09:47:41,1067.0,2444.0
1980-05-11 09:42:43,1663.0,2288.0
1980-05-12 09:37:43,2090.0,1363.0
1980-05-13 09:32:43,1621.0,1865.0
1980-05-14 09:27:31,2117.0,2327.0
1980-05-15 09:28:45,2325.0,2125.0
1980-05-16 09:29:51,1999.0,2939.0
1980-05-17 09:30:55,1936.0,1376.0
1980-05-18 09:31:57,1193.0,2578.0
1980-05-19 09:32:57,1449.0,2617.0
1980-05-20 09:33:56,1095.0,3063.0
1980-05-21 09:34:52,959.0,3109.0
1980-05-22 09:41:10,1077.0,2594.0
1980-05-23 09:47:28,1393.0,2437.0
1980-05-25 10:00:00,1472.0,2893.0
1980-05-26 10:06:14,1135.0,3293.0
1980-05-27 10:12:28,2773.0,1282.0
1980-05-28 10:18:41,1918.0,2316.0
1980-05-29 10:24:53,1137.0,804.0
1980-05-30 10:31:05,1457.0,0.0
1980-05-31 10:37:15,1131.0,1456.0
1980-06-01 10:43:25,1375.0,1728.0
1980-06-02 10:49:34,1749.0,1460.0
1980-06-03 10:55:42,1357.0,1850.0
1980-06-04 11:01:50,1441.0,1582.0
1980-06-05 11:07:56,910.0,951.0
1980-06-06 11:14:02,1919.0,963.0
1980-06-07 11:20:07,1327.0,1347.0
1980-06-08 11:26:11,1444.0,1557.0
1980-06-09 11:32:14,1812.0,1401.0
1980-06-10 11:38:16,716.0,665.0
1980-06-11 11:44:18,1968.0,773.0
1980-06-12 11:50:19,2064.0,2506.0
1980-06-13 11:56:18,2522.0,1397.0
1980-06-14 12:02:17,1360.0,830.0
1980-06-15 12:08:15,2235.0,1683.0
1980-06-16 12:14:12,1712.0,0.0
1980-06-17 12:20:08,1103.0,1419.0
1980-06-18 12:26:03,944.0,1792.0
1980-06-19 12:31:57,838.0,1270.0
1980-06-20 12:37:50,1164.0,1995.0
1980-06-21 12:43:42,1239.0,1802.0
1980-06-22 12:49:34,1508.0,1245.0
1980-06-24 13:01:13,1039.0,1042.0
1980-06-25 13:07:00,1137.0,1501.0
1980-06-26 13:12:44,3332.0,2027.0
1980-06-27 13:18:26,1179.0,1136.0
1980-06-28 13:24:04,1740.0,1058.0
1980-06-29 13:29:38,1732.0,1076.0
1980-06-30 13:35:10,1502.0,0.0
1980-07-01 13:40:40,1114.0,957.0
1980-07-02 13:46:06,1406.0,896.0
1980-07-03 13:51:29,1131.0,803.0
1980-07-04 13:56:48,789.0,679.0
1980-07-05 14:02:01,412.0,494.0
1980-07-06 14:07:08,1107.0,832.0
1980-07-07 14:12:08,1896.0,921.0
1980-07-08 14:17:00,859.0,773.0
1980-07-09 14:21:42,1822.0,851.0
1980-07-10 14:26:13,1136.0,937.0
1980-07-11 14:30:33,1468.0,533.0
1980-07-12 14:34:44,1031.0,781.0
1980-07-13 14:38:43,1493.0,1201.0
1980-07-14 14:42:34,754.0,686.0
1980-07-15 14:46:15,1476.0,1403.0
1980-07-16 14:49:48,757.0,564.0
1980-07-17 14:53:15,999.0,897.0
1980-07-18 14:56:33,1277.0,1281.0
1980-07-19 14:59:46,1217.0,721.0
1980-07-20 15:02:53,1356.0,1469.0
1980-07-21 15:05:56,830.0,633.0
1980-07-22 15:08:54,1930.0,1486.0
1980-07-23 15:11:49,1462.0,1118.0
1980-07-24 15:14:40,1205.0,726.0
1980-07-26 15:20:17,1473.0,1108.0
1980-07-27 15:23:03,636.0,529.0
1980-07-28 15:25:49,437.0,441.0
1980-07-29 15:28:33,1359.0,1257.0
1980-07-30 15:31:16,1087.0,986.0
1980-07-31 15:33:59,1621.0,771.0
