OUTBOUND_SOLAR_ZENITH_ANGLE,OUTBOUND_LATITUDE
0.0,0.0
0.0,0.0
0.0,0.0
109.7,1.1
114.4,-19.8
116.0,-25.4
117.0,-31.9
118.8,-23.7
119.7,-10.0
0.0,0.0
124.9,-34.4
128.2,-25.6
130.7,-16.3
131.6,-21.1
131.9,-26.0
134.7,-1.6
0.0,0.0
124.4,-50.0
136.0,-33.9
139.5,-29.4
0.0,0.0
135.6,-39.1
148.5,-21.9
138.0,-37.2
142.1,-32.9
138.2,-37.9
140.9,-35.2
126.4,-50.3
135.3,-41.5
166.4,-3.7
149.3,-27.6
130.4,-46.1
137.5,-39.2
142.5,-34.3
129.8,-46.0
140.3,-36.0
137.9,-37.9
140.3,-35.4
137.6,-37.6
136.7,-37.9
146.2,-28.5
140.4,-33.5
129.8,-43.0
125.2,-46.8
0.0,0.0
128.3,-42.7
123.1,-47.1
0.0,0.0
137.7,-31.1
146.4,-20.6
129.5,-37.9
129.2,-37.3
125.5,-40.3
132.7,-31.4
116.4,-48.2
133.6,-27.9
123.7,-38.3
124.0,-36.9
136.3,-19.4
131.0,-23.3
120.8,-35.8
127.7,-24.3
0.0,0.0
117.5,-35.8
0.0,0.0
128.7,-13.0
114.0,-36.0
105.0,-47.6
115.3,-30.1
125.6,-5.7
116.3,-23.5
119.7,-13.0
110.5,-29.7
113.0,-21.9
120.6,14.1
107.4,-25.1
117.1,11.6
116.9,24.6
106.2,-17.5
105.9,-13.9
99.0,-29.3
100.7,-20.7
94.7,-34.1
101.6,-8.0
97.5,-17.0
97.9,-9.2
94.5,-17.3
94.0,-13.4
93.7,-8.6
88.8,-22.2
94.1,6.6
87.5,-15.4
84.6,-21.9
81.0,-33.7
84.2,-9.5
80.9,-18.6
80.8,-11.3
0.0,0.0
78.7,-6.2
74.5,-22.5
72.2,-33.8
72.9,-12.3
72.5,-5.6
69.7,-13.7
67.9,-16.1
67.2,-9.5
66.8,-2.8
67.5,7.4
64.8,2.8
60.4,-21.1
59.1,-14.1
58.5,-4.9
57.5,5.4
53.2,-12.3
49.6,-1.7
50.4,8.2
0.0,0.0
44.0,-25.7
42.7,0.7
43.9,2.3
56.4,3.9
56.7,10.7
74.1,-13.6
71.9,-0.4
82.4,-15.9
87.8,-29.1
87.7,-18.5
87.6,-12.2
91.0,-19.8
90.0,-9.0
97.0,-27.6
92.9,-0.8
97.4,-14.2
100.3,-21.9
