DATETIME,INBOUND_LATITUDE,OUTBOUND_LATITUDE
1980-06-21 12:43:42,59.4,-39.7
1980-06-22 12:49:34,63.5,-30.7
1980-06-24 13:01:13,55.8,-26.6
1980-06-25 13:07:00,57.7,-35.2
1980-06-26 13:12:44,74.6,-42.7
1980-06-27 13:18:26,58.5,-28.7
1980-06-28 13:24:04,66.6,-27.0
1980-06-29 13:29:38,66.5,-27.4
1980-06-30 13:35:10,63.6,0.0
1980-07-01 13:40:40,57.4,-24.9
1980-07-02 13:46:06,62.3,-23.5
1980-07-03 13:51:29,57.8,-21.1
1980-07-04 13:56:48,50.5,-17.7
1980-07-05 14:02:01,38.5,-11.6
1980-07-06 14:07:08,57.3,-21.9
1980-07-07 14:12:08,68.4,-24.0
1980-07-08 14:17:00,52.2,-20.3
1980-07-09 14:21:42,67.6,-22.3
1980-07-10 14:26:13,57.9,-24.3
1980-07-11 14:30:33,63.2,-12.9
1980-07-12 14:34:44,55.8,-20.4
1980-07-13 14:38:43,63.5,-29.8
1980-07-14 14:42:34,49.5,-17.7
1980-07-15 14:46:15,63.2,-33.4
1980-07-16 14:49:48,49.5,-13.8
1980-07-17 14:53:15,55.1,-23.2
1980-07-18 14:56:33,60.1,-31.2
1980-07-19 14:59:46,59.1,-18.5
1980-07-20 15:02:53,61.3,-34.4
1980-07-21 15:05:56,51.1,-15.7
1980-07-22 15:08:54,68.4,-34.5
1980-07-23 15:11:49,62.7,-27.7
1980-07-24 15:14:40,58.6,-18.3
1980-07-26 15:20:17,62.7,-27.3
1980-07-27 15:23:03,45.4,-11.6
1980-07-28 15:25:49,38.1,-8.0
1980-07-29 15:28:33,60.8,-30.1
1980-07-30 15:31:16,56.0,-24.4
1980-07-31 15:33:59,64.4,-18.9
1980-08-01 15:36:43,49.0,-18.4
1980-08-02 15:39:26,45.4,-8.1
1980-08-03 15:42:09,57.2,-7.3
1980-08-04 15:44:53,57.6,-8.6
1980-08-05 15:47:37,49.6,-3.6
1980-08-06 15:50:21,40.2,-9.0
1980-08-07 15:53:06,50.1,-7.8
1980-08-08 15:55:51,39.6,-1.6
1980-08-09 15:58:37,52.1,-9.3
1980-08-10 16:01:23,38.6,0.5
1980-08-11 16:04:09,41.9,-2.3
1980-08-12 16:06:56,53.1,-14.1
1980-08-13 16:09:44,41.4,-1.4
1980-08-14 16:12:32,32.0,3.3
1980-08-15 16:15:20,39.4,-2.5
1980-08-16 16:18:09,50.5,-13.3
1980-08-17 16:20:58,35.9,-1.0
1980-08-18 16:23:47,52.1,-8.5
1980-08-19 16:26:37,43.1,-8.0
1980-08-20 16:29:28,47.3,-8.0
1980-08-21 16:32:18,32.6,4.3
1980-08-22 16:35:09,37.6,0.5
1980-08-23 16:38:01,31.1,1.5
1980-08-24 16:40:52,0.0,6.0
1980-08-25 16:43:44,52.4,-9.5
1980-08-26 16:46:36,41.5,-1.6
1980-08-27 16:49:28,24.7,4.0
1980-08-28 16:52:20,27.2,0.0
1980-08-29 16:55:13,32.2,3.6
1980-08-30 16:58:05,41.3,-2.8
1980-08-31 17:00:58,0.0,5.2
1980-09-01 17:03:51,36.6,4.0
1980-09-04 17:12:29,20.5,16.1
1980-09-05 17:15:22,24.0,8.4
1980-09-06 17:18:14,32.0,20.1
1980-09-08 17:23:58,24.2,14.0
1980-09-09 17:26:50,36.6,7.1
1980-09-10 17:29:41,19.8,8.4
1980-09-15 17:43:53,34.4,-7.5
1980-09-16 17:46:42,24.0,2.6
1980-09-17 17:49:31,20.6,13.0
1980-09-18 17:52:19,23.6,7.5
1980-09-19 17:55:07,22.1,-1.2
1980-09-20 17:57:54,31.5,11.8
1980-09-21 18:00:40,0.0,8.8
1980-09-22 18:03:26,45.6,-7.8
1980-09-23 18:06:12,36.6,7.4
1980-09-24 18:08:57,27.5,12.3
1980-09-25 18:11:41,33.9,-4.1
1980-09-26 18:14:25,39.8,35.2
1980-09-27 18:17:08,41.9,-17.6
1980-09-28 18:19:50,0.0,5.0
1980-09-29 18:22:32,26.3,8.0
1980-10-01 18:27:53,34.7,-8.7
1980-10-02 18:30:33,34.4,-3.4
1980-10-03 18:33:13,31.4,9.6
1980-10-04 18:35:51,56.4,-23.8
1980-10-05 18:38:29,49.7,-9.3
1980-10-06 18:41:07,44.6,-11.8
1980-10-07 18:43:44,42.7,0.0
1980-10-08 18:46:20,22.0,7.2
1980-10-09 18:48:56,0.0,-19.4
1980-10-11 18:54:06,36.5,-1.4
1980-10-12 18:56:41,0.0,-10.5
1980-10-13 18:59:15,38.6,-12.0
1980-10-16 19:06:54,46.1,-19.2
1980-10-18 19:11:58,45.1,-22.1
1980-10-19 19:14:30,58.5,-28.8
1980-10-21 19:19:33,56.1,-27.8
1980-10-22 19:22:04,32.8,-1.8
1980-10-25 19:29:37,43.7,-23.6
1980-10-27 19:34:39,40.1,-22.8
1980-10-28 19:37:09,52.8,-16.4
1980-10-29 19:39:40,56.3,-22.4
1980-10-30 19:42:11,0.0,-21.0
1980-10-31 19:44:42,55.7,0.0
1980-11-01 19:47:14,55.1,-17.7
1980-11-02 19:49:45,55.3,0.0
1980-11-03 19:52:17,61.6,0.0
1980-11-04 19:54:49,56.8,0.0
1980-11-05 19:57:21,28.8,1.1
1980-11-06 19:59:54,55.9,-19.8
1980-11-07 20:02:27,40.0,-25.4
1980-11-08 20:05:00,50.7,-31.9
1980-11-09 20:07:34,0.0,-23.7
1980-11-10 20:10:08,15.3,-10.0
1980-11-14 20:20:30,40.8,0.0
1980-11-15 20:23:07,56.4,-34.4
1980-11-16 20:25:44,72.9,-25.6
1980-11-17 20:28:22,60.5,-16.3
1980-11-18 20:31:01,59.7,-21.1
1980-11-19 20:33:40,29.4,-26.0
1980-11-20 20:36:20,0.0,-1.6
1980-11-24 20:47:04,31.8,0.0
1980-11-25 20:49:47,31.5,-50.0
1980-11-26 20:52:31,36.1,-33.9
1980-11-27 20:55:14,50.8,-29.4
1980-11-29 21:00:44,39.2,0.0
1980-12-01 21:06:16,56.6,-39.1
1980-12-02 21:09:03,42.6,-21.9
1980-12-03 21:11:50,28.8,-37.2
1980-12-04 21:14:38,6.5,-32.9
1980-12-05 21:17:26,38.6,-37.9
